LotNO,target,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43
513,129.72,7038,12420,7452,814200,41.49583327,8556,9218.4,151.8,1725,140.76,1297.2,82800,52.44,53.82,51.06,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,100.74,37260,357.42,223.56,93.15,157.32,393.3,262.2,52.992,644,28520,2438,1058,0,1196,0,4646
514,131.1,7038,12420,7452,814200,42.54999995,8556,8942.4,151.8,1725,140.76,1297.2,82800,52.44,53.82,51.06,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,100.74,37260,357.42,223.56,93.15,157.32,393.3,262.2,52.992,644,28520,2438,1058,0,1196,0,4646
515,131.1,7038,16560,7452,814200,41.97500005,8556,9039,151.8,1725,140.76,1297.2,82800,52.44,53.82,51.06,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,100.74,37260,357.42,223.56,93.15,157.32,393.3,262.2,52.992,644,28520,2438,1058,0,1196,0,4646
516,131.1,7038,12420,7452,814200,42.93333332,8556,9108,151.8,1725,140.76,1297.2,82800,52.44,53.82,51.06,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,100.74,37260,357.42,223.56,93.15,157.32,393.3,262.2,52.992,644,28520,2438,1058,0,1196,0,4646
517,133.86,7038,16560,7452,814200,42.45416668,8556,9273.6,151.8,1725,140.76,1297.2,82800,52.44,53.82,51.06,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,99.36,36846,350.52,224.94,93.288,158.7,398.82,266.34,52.992,828,28520,2208,1150,0,1472,0,4462
518,136.62,7038,10350,7452,814200,42.74166664,8556,9121.8,151.8,1725,140.76,1297.2,82800,52.44,53.82,51.06,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,99.36,36846,350.52,224.94,93.288,158.7,398.82,266.34,52.992,828,28520,2208,1150,0,1472,0,4462
519,131.1,7038,10350,7728,814200,40.15416664,8556,8956.2,138,1725,175.26,1283.4,89700,93.84,88.32,93.84,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,99.36,36846,350.52,224.94,93.288,158.7,398.82,266.34,52.992,828,28520,2208,1150,0,1472,0,4462
520,128.34,7038,15180,7590,814200,40.72916668,8280,8804.4,138,1725,175.26,1283.4,89700,93.84,88.32,93.84,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,99.36,36846,350.52,224.94,93.288,158.7,398.82,266.34,52.992,828,28520,2208,1150,0,1472,0,4462
521,132.48,7038,20700,7590,814200,41.20833332,8280,8914.8,138,1725,175.26,1283.4,89700,93.84,88.32,93.84,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,99.36,36846,350.52,224.94,93.288,158.7,398.82,266.34,52.992,828,28520,2208,1150,0,1472,0,4462
522,132.48,7038,19320,7590,814200,41.01666664,8418,8776.8,138,1725,172.5,1269.6,89700,82.8,82.8,80.04,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,102.12,37260,354.66,224.94,94.254,161.46,397.44,260.82,52.992,276,27600,2392,1058,0,1150,0,4554
523,131.1,7038,17250,7590,814200,40.72916668,8418,8970,138,1725,172.5,1269.6,89700,82.8,82.8,80.04,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,102.12,37260,354.66,224.94,94.254,161.46,397.44,260.82,52.992,276,27600,2392,1058,0,1150,0,4554
524,131.1,7038,19320,7590,814200,41.4,8418,8818.2,138,1725,172.5,1269.6,89700,82.8,82.8,80.04,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,102.12,37260,354.66,224.94,94.254,161.46,397.44,260.82,52.992,276,27600,2392,1058,0,1150,0,4554
